HOUSEID,VEHID,VEHYEAR,VEHAGE,MAKE,MODEL,FUELTYPE,VEHTYPE,WHOMAIN,OD_READ,HFUEL,VEHOWNED,VEHOWNMO,ANNMILES,HYBRID,PERSONID,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTHHFIN,BESTMILE,BEST_FLG,BEST_EDT,BEST_OUT,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN,GSYRGAL,GSTOTCST,FEGEMPG,FEGEMPGA,GSCOST,FEGEMPGF
30005759,02,2013,4,77,77706,01,07,02,-88,-1,01,-1,-9,02,02,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,-9,08,-1,-1,S,40,3000,1500,1500,05,3000,750,-9,-9,50,-9,-9,03
30005759,03,2012,5,30,30042,01,01,02,-88,-1,01,-1,-9,02,02,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,18581.5154559907,02,-1,-1,S,40,3000,1500,1500,05,3000,750,743.260618239627,1580.29595114715,25,-9,2.12616666666667,01
30005759,04,2011,6,12,12481,02,04,02,-88,-1,01,-1,-9,02,02,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,24655.5512201918,02,-1,-1,S,40,3000,1500,1500,05,3000,750,2054.6292683493198,4710.5800359022,12,-9,2.29266666666667,03
30005759,05,1977,40,84,XXXXX,01,03,01,-88,-1,01,-1,-9,02,01,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,2703.3814318551,02,-1,-1,S,40,3000,1500,1500,05,3000,750,128.732449135957,273.706642271234,21,-9,2.12616666666667,02
30006587,01,2017,1,32,32043,01,01,02,3012,-1,02,01,36144,02,02,06,01,4,3,11,4,TX,48,2,2,201609,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,140.16740304915,35561.2192023539,01,-1,-1,S,0,3000,750,1500,0,1500,750,1270.04354294121,2700.32424621684,28,-9,2.12616666666667,01
30006587,02,2013,4,48,48045,01,03,01,38120,-1,01,-1,10000,02,01,06,01,4,3,11,4,TX,48,2,2,201609,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,140.16740304915,12169.8548531655,01,-1,-1,S,0,3000,750,1500,0,1500,750,529.124124050672,1125.00607508574,23,-9,2.12616666666667,01
30006587,03,2012,5,49,49040,03,01,03,101137,04,02,01,2400,01,03,06,01,4,3,11,4,TX,48,2,2,201609,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,140.16740304915,3089.02106279332,01,-1,01,S,0,3000,750,1500,0,1500,750,79.2056682767519,168.404451701087,39,-9,2.12616666666667,01
30006678,01,2014,3,49,49046,03,01,01,21320,04,01,-1,12000,01,01,02,01,1,1,05,1,TX,48,1,0,201607,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,133.570577812575,4975.94041081092,01,-1,-1,S,20,3000,1500,3000,20,3000,1500,108.172617626324,229.99301384317,46,-9,2.12616666666667,01
30007913,01,2015,2,69,69054,01,01,01,10000,-1,01,-1,8000,02,01,04,02,2,2,03,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,272.535376974358,199.024417831773,01,-1,-1,U,50,7000,3000,3000,70,7000,7000,13.2682945221182,28.2106055364436,15,-9,2.12616666666667,02
30007913,02,2009,8,49,49047,01,01,02,100000,-1,01,-1,-9,02,02,04,02,2,2,03,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,272.535376974358,16804.1100583849,01,-1,-1,U,50,7000,3000,3000,70,7000,7000,672.164402335395,1429.13354676544,25,-9,2.12616666666667,01
30007923,01,2015,2,59,59403,03,03,02,23693,04,01,-1,1200,01,02,05,01,2,2,07,2,TX,48,2,0,201609,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,98.9292633140422,2777.68112087398,01,-1,01,T,0,1500,750,350,05,1500,750,95.782107616344,203.64872447695,29,-9,2.12616666666667,01
30007923,02,2011,6,12,12023,03,01,01,70910,04,01,-1,1200,01,01,05,01,2,2,07,2,TX,48,2,0,201609,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,98.9292633140422,10462.3951597697,01,-1,-1,T,0,1500,750,350,05,1500,750,275.326188414993,585.389364268344,38,-9,2.12616666666667,01
30007925,01,1996,21,48,48034,01,01,01,197520,-1,01,-1,0,02,01,03,01,2,2,03,1,TX,48,2,0,201607,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,156.73165461236,1950.64616533024,01,-1,-1,U,70,7000,3000,5000,40,7000,1500,88.6657347877381,188.518129781196,22,-9,2.12616666666667,01
30007925,02,1977,40,49,49038,01,01,01,197437,-1,01,-1,-9,02,01,03,01,2,2,03,1,TX,48,2,0,201607,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,156.73165461236,2551.6822601875,01,-1,-1,U,70,7000,3000,5000,40,7000,1500,91.1315092924107,193.760777340547,28,-9,2.12616666666667,01
30008260,01,2016,1,20,20421,01,03,01,2772,-1,02,02,16632,02,01,05,01,5,2,11,2,TX,48,2,2,201607,04,02,04,02,01,04,01,07,03,72,01,02,12420,02,347.401509532665,11138.4751876481,01,-1,-1,T,05,3000,1500,1500,05,3000,1500,618.80417709156,1315.68081452617,18,-9,2.12616666666667,01
30008260,02,2009,8,54,54421,01,03,02,94220,-1,01,-1,-9,02,02,05,01,5,2,11,2,TX,48,2,2,201607,04,02,04,02,01,04,01,07,03,72,01,02,12420,02,347.401509532665,25186.8715379599,01,-1,-1,T,05,3000,1500,1500,05,3000,1500,1481.58067870352,3150.08745303681,17,-9,2.12616666666667,01
30008784,01,2007,10,12,12471,01,04,01,25000,-1,01,-1,10000,02,01,01,01,1,1,03,1,TX,48,1,0,201607,09,02,04,02,02,06,01,07,03,72,06,01,12420,02,705.14330417184,9935.5360975047,01,-1,-1,R,30,300,300,150,30,750,300,551.97422763915,1173.58920366544,18,-9,2.12616666666667,01
30008870,01,2013,4,12,12481,01,04,01,63000,-1,01,-1,18000,02,01,04,01,3,4,08,3,TX,48,3,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,290.004293903831,12836.7275231049,01,-1,-1,T,05,1500,300,750,0,1500,750,755.101619006168,1605.47189227695,17,-9,2.12616666666667,01
30008870,02,2013,4,41,41051,01,01,97,-88,-1,01,-1,15000,02,97,04,01,3,4,08,3,TX,48,3,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,290.004293903831,11418.8534490187,03,-1,-1,T,05,1500,300,750,0,1500,750,422.920498111804,899.19946573538,27,-9,2.12616666666667,01
