HOUSEID,PERSONID,R_AGE,EDUC,R_HISP,R_RELAT,R_SEX,R_RACE,PRMACT,PAYPROF,GT1JBLWK,WRK_HOME,WKFTPT,WRKTRANS,LSTTRDAY17,OCCAT,SCHTYP,NWALKTRP,WALK4EX,NBIKETRP,BIKE4EX,BIKESHARE,PTUSED,MCUSED,CARSHARE,RIDESHARE,CARRODE,TIMETOWK,NOCONG,PUBTIME,WRKTIME,WKRMHM,FLEXTIME,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,MEDCOND,MEDCOND6,HEALTH,PHYACT,VPACT,LPACT,BORNINUS,YRTOUS,YEARMILE,PROXY,WHOPROXY,USEPUBTR,SAMEPLC,W_NONE,W_CANE,W_WLKR,W_WHCANE,W_DOG,W_CRUTCH,W_SCOOTR,W_CHAIR,W_MTRCHR,WORKER,DIARY,OUTCNTRY,FRSTHM17,CNTTDTR,GCDWORK,WKSTFIPS,DRIVER,OUTOFTWN,DISTTOWK17,DISTTOSC17,R_AGE_IMP,R_SEX_IMP,ALT_16,ALT_23,ALT_45,WALK_DEF,WALK_GKQ,BIKE_DFR,BIKE_GKP,CONDTRAV,CONDRIDE,CONDNIGH,CONDRIVE,CONDPUB,CONDSPEC,CONDTAX,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTPERFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30212800,01,46,03,02,01,01,01,01,-1,02,02,01,06,-1,03,-1,0,-1,0,-1,-1,0,5,0,0,1,5,5,-1,07:41 AM,02,02,-1,-1,-1,0,02,-1,01,03,5,-1,01,-1,30000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,02,01,4,3.05999999999995,48,01,02,3.64999999999998,-9,46,01,04,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,02,1,2,05,1,TX,48,1,1,201609,01,01,02,04,02,04,06,02,07,03,72,01,02,12420,02,168.096432949901,R,20,300,50,75,20,50,50
30214022,01,36,04,02,01,02,06,01,-1,02,02,02,03,-1,01,-1,0,-1,0,-1,-1,0,-1,0,0,1,10,7,-1,-8,02,02,-1,-1,-1,10,02,-1,01,02,-1,5,01,-1,10000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,8,4.87999999999988,48,01,02,6.47999999999979,-9,36,02,04,04,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,02,4,1,05,1,TX,48,2,1,201607,01,06,02,04,02,01,04,01,07,03,72,06,02,12420,02,479.066755483971,S,40,7000,3000,3000,40,7000,3000
30214022,02,73,05,02,04,02,02,06,02,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,02,-1,01,02,-1,6,01,-1,-1,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,2,-9,-9,02,02,-9,-9,73,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,02,4,1,05,1,TX,48,2,1,201607,01,06,02,04,02,01,04,01,07,03,72,06,02,12420,02,476.695649444948,S,40,7000,3000,3000,40,7000,3000
30214022,03,16,01,02,03,01,02,03,02,-1,-1,-1,-1,-1,-1,01,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,01,01,0,02,-1,01,01,-1,-1,01,-1,-1,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,2,-9,-9,02,02,-9,1.85999999999996,16,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,02,4,1,05,1,TX,48,2,1,201607,01,06,02,04,02,01,04,01,07,03,72,06,02,12420,02,590.121966169697,S,40,7000,3000,3000,40,7000,3000
30214022,04,10,-1,02,03,02,02,-1,-1,-1,-1,-1,-1,01,-1,01,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,-1,02,-1,01,02,-1,5,01,-1,-1,02,01,02,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,01,0,-9,-9,-1,02,-9,1.80999999999995,10,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,02,4,1,05,1,TX,48,2,1,201607,01,06,02,04,02,01,04,01,07,03,72,06,02,12420,02,604.24600948783,S,40,7000,3000,3000,40,7000,3000
30216265,01,71,02,01,01,02,01,06,02,-1,-1,-1,-1,-1,-1,-1,2,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,01,02,04,02,-1,5,01,-1,8000,01,01,02,-1,-1,01,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,10,-9,-9,01,02,-9,-9,71,02,03,04,04,-1,03,-1,-1,01,01,02,02,02,02,02,06,01,2,1,02,1,TX,48,2,0,201609,01,10,02,04,02,01,04,01,07,03,72,01,01,12420,02,489.337634403288,U,40,7000,3000,3000,40,17000,3000
30216265,02,50,02,01,03,02,01,97,02,-1,-1,-1,-1,03,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,01,02,04,02,-1,5,01,-1,-1,02,01,02,97,0,-1,-1,-1,-1,-1,-1,-1,-1,02,02,02,01,0,-9,-9,02,02,-9,-9,50,02,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,02,02,02,06,01,2,1,02,1,TX,48,2,0,201609,01,10,02,04,02,01,04,01,07,03,72,01,01,12420,02,477.46672307485,U,40,7000,3000,3000,40,17000,3000
30217008,01,42,04,02,01,02,01,01,-1,02,02,01,04,-1,02,-1,4,4,0,-1,-1,0,-1,0,0,1,20,15,-1,08:00 AM,02,02,-1,-1,-1,1,02,-1,02,02,-1,4,01,-1,5800,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,3,5.04999999999995,48,01,02,6.54999999999995,-9,42,02,03,03,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,02,1,1,05,1,TX,48,1,1,201609,01,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,210.814307737092,S,50,3000,750,750,50,1500,750
30217302,01,72,04,02,01,02,01,97,01,02,01,02,-9,-1,04,-1,14,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,10:00 AM,-1,01,-1,-1,-1,2,02,-1,01,02,-1,5,01,-1,10000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,4,-9,-9,01,02,-9,-9,72,02,04,04,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,2,2,08,2,TX,48,2,2,201607,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,83.9698458759031,S,50,7000,3000,5000,60,3000,3000
30217302,02,48,04,02,03,02,01,01,-1,02,01,01,-9,-1,04,-1,5,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,10:00 AM,-1,01,-1,-1,-1,10,02,-1,03,01,-1,-1,01,-1,-88,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,7,-9,-9,01,02,-9,-9,48,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,2,2,08,2,TX,48,2,2,201607,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,81.9328094319948,S,50,7000,3000,5000,60,3000,3000
