purpose,avg_time,pred_avg_time,pred_avg_time_alt
HBO,19.43280781589301,19.425096339815003,19.814905447650286
HBW,28.706835279525826,28.722487572199412,29.160508907315062
NHB,21.378393889691324,21.389189557547507,21.773748766819566
