year,state,w_tract,h_tract,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
2019,TX,48453001100,48453001918,85,8,52,25,7,8,70,2,8,75
2019,TX,48453001100,48453001919,127,19,71,37,18,13,96,12,9,106
2019,TX,48453001100,48453002002,212,42,129,41,17,41,154,6,14,192
2019,TX,48453001100,48453002003,218,72,111,35,44,57,117,1,27,190
2019,TX,48453001100,48453002004,311,151,131,29,30,76,205,5,36,270
2019,TX,48453001100,48453002005,354,136,191,27,35,77,242,10,24,320
2019,TX,48453001100,48453002104,154,31,106,17,27,26,101,2,17,135
2019,TX,48453001100,48453002105,158,62,74,22,22,50,86,3,11,144
2019,TX,48453001100,48453002106,147,23,101,23,31,26,90,1,12,134
2019,TX,48453001100,48453002107,184,49,106,29,26,35,123,6,22,156
2019,TX,48453001100,48453002108,159,57,81,21,17,41,101,2,11,146
2019,TX,48453001100,48453002109,228,73,126,29,42,52,134,6,31,191
2019,TX,48453001100,48453002110,214,47,133,34,25,54,135,5,31,178
2019,TX,48453001100,48453002111,226,62,126,38,35,74,117,2,13,211
2019,TX,48453001100,48453002112,158,40,94,24,23,37,98,6,7,145
2019,TX,48453001100,48453002113,162,21,112,29,10,30,122,1,21,140
2019,TX,48453001100,48453002201,64,15,36,13,3,22,39,1,6,57
2019,TX,48453001100,48453002202,149,36,96,17,27,90,32,4,7,138
2019,TX,48453001100,48453002207,404,92,228,84,37,117,250,6,36,362
2019,TX,48453001100,48453002208,186,39,115,32,15,61,110,5,9,172
2019,TX,48453001100,48453002209,253,36,156,61,17,68,168,5,10,238
2019,TX,48453001100,48453002210,74,9,50,15,6,11,57,1,10,63
2019,TX,48453001100,48453002211,90,14,57,19,6,20,64,5,9,76
2019,TX,48453001100,48453002212,49,15,30,4,5,15,29,1,6,42
2019,TX,48453001100,48453002304,545,288,228,29,60,73,412,18,34,493
2019,TX,48453001100,48453002307,414,138,228,48,54,137,223,7,32,375
2019,TX,48453001100,48453002308,336,128,174,34,54,77,205,8,29,299
2019,TX,48453001100,48453002310,53,11,22,20,11,23,19,1,3,49
2019,TX,48453001100,48453002312,306,89,182,35,30,101,175,8,18,280
2019,TX,48453001100,48453002313,265,113,114,38,34,91,140,3,13,249
2019,TX,48453001100,48453002314,448,226,182,40,64,161,223,1,44,403
2019,TX,48453001100,48453002315,170,70,76,24,32,55,83,1,13,156
2019,TX,48453001100,48453002316,296,137,143,16,60,114,122,0,12,284
2019,TX,48453001100,48453002317,202,115,69,18,45,87,70,1,14,187
2019,TX,48453001100,48453002318,262,108,120,34,51,106,105,2,25,235
2019,TX,48453001100,48453002319,6,1,4,1,3,1,2,0,2,4
2019,TX,48453001100,48453002402,526,206,254,66,45,166,315,15,41,470
2019,TX,48453001100,48453002403,185,50,112,23,22,47,116,4,12,169
2019,TX,48453001100,48453002407,372,113,187,72,38,94,240,11,20,341
2019,TX,48453001100,48453002409,186,43,116,27,14,49,123,1,10,175
2019,TX,48453001100,48453002410,136,34,77,25,12,51,73,3,6,127
2019,TX,48453001100,48453002411,172,55,70,47,24,79,69,1,9,162
2019,TX,48453001100,48453002412,130,20,78,32,15,58,57,6,4,120
2019,TX,48453001100,48453002413,94,25,54,15,15,42,37,0,9,85
2019,TX,48453001100,48453002419,185,74,88,23,39,91,55,4,15,166
2019,TX,48453001100,48453002421,563,166,305,92,52,127,384,21,32,510
2019,TX,48453001100,48453002422,304,76,178,50,35,100,169,4,10,290
2019,TX,48453001100,48453002423,303,69,180,54,41,62,200,3,24,276
2019,TX,48453001100,48453002424,200,47,121,32,23,53,124,10,12,178
2019,TX,48453001100,48453002425,271,89,154,28,24,76,171,11,15,245
2019,TX,48453001100,48453002426,404,81,251,72,41,101,262,2,21,381
2019,TX,48453001100,48453002427,259,74,129,56,35,90,134,1,9,249
2019,TX,48453001100,48453002428,372,69,226,77,19,91,262,8,31,333
2019,TX,48453001100,48453002429,130,52,63,15,24,36,70,1,9,120
2019,TX,48453001100,48453002430,64,9,38,17,16,16,32,2,7,55
2019,TX,48453001100,48453002431,484,99,285,100,63,161,260,5,24,455
2019,TX,48453001100,48453002432,227,67,127,33,19,60,148,4,26,197
2019,TX,48453001100,48453002433,183,30,119,34,20,62,101,5,17,161
2019,TX,48453001100,48453002434,49,5,30,14,3,19,27,0,4,45
2019,TX,48453001100,48453002435,260,45,171,44,29,103,128,1,15,244
2019,TX,48453001100,48453002436,50,2,25,23,6,16,28,0,3,47
2019,TX,48453001100,48453002500,194,33,122,39,24,29,141,0,15,179
2019,TX,48453001100,48453980000,2,1,1,0,0,1,1,0,1,1
2019,TX,48453001100,48491020105,39,1,17,21,2,12,25,3,0,36
2019,TX,48453001100,48491020106,40,0,28,12,1,7,32,2,4,34
2019,TX,48453001100,48491020107,30,1,10,19,0,8,22,0,3,27
2019,TX,48453001100,48491020108,31,5,21,5,2,7,22,0,3,28
2019,TX,48453001100,48491020109,41,4,26,11,1,4,36,1,3,37
2019,TX,48453001100,48491020110,101,17,70,14,4,7,90,1,8,92
2019,TX,48453001100,48491020111,21,2,12,7,0,4,17,1,0,20
2019,TX,48453001100,48491020112,88,5,60,23,11,3,74,3,9,76
2019,TX,48453001100,48491020113,27,2,19,6,2,5,20,0,2,25
2019,TX,48453001100,48491020114,36,8,22,6,9,3,24,3,1,32
2019,TX,48453001100,48491020115,51,9,38,4,5,6,40,2,5,44
2019,TX,48453001100,48491020201,7,2,4,1,0,2,5,0,0,7
2019,TX,48453001100,48491020202,86,15,57,14,11,8,67,3,12,71
2019,TX,48453001100,48491020203,12,0,9,3,0,3,9,0,1,11
2019,TX,48453001100,48491020204,72,8,42,22,17,1,54,4,7,61
2019,TX,48453001100,48491020301,139,18,97,24,11,17,111,1,10,128
2019,TX,48453001100,48491020302,154,15,116,23,11,23,120,4,15,135
2019,TX,48453001100,48491020310,86,14,53,19,14,8,64,7,7,72
2019,TX,48453001100,48491020311,219,46,144,29,21,46,152,17,17,185
2019,TX,48453001100,48491020312,141,15,105,21,13,11,117,5,14,122
2019,TX,48453001100,48491020313,178,18,122,38,19,23,136,7,11,160
2019,TX,48453001100,48491020314,135,17,87,31,6,19,110,6,11,118
2019,TX,48453001100,48491020315,182,25,129,28,11,26,145,13,15,154
2019,TX,48453001100,48491020316,118,23,84,11,9,34,75,4,13,101
2019,TX,48453001100,48491020317,101,17,77,7,2,21,78,5,5,91
2019,TX,48453001100,48491020318,198,39,114,45,19,36,143,8,12,178
2019,TX,48453001100,48491020319,131,15,81,35,12,17,102,3,15,113
2019,TX,48453001100,48491020320,145,22,94,29,10,19,116,8,11,126
2019,TX,48453001100,48491020321,32,2,23,7,1,6,25,5,3,24
2019,TX,48453001100,48491020322,161,21,104,36,10,31,120,10,12,139
2019,TX,48453001100,48491020323,35,3,24,8,0,7,28,1,1,33
2019,TX,48453001100,48491020324,185,23,124,38,16,27,142,5,21,159
2019,TX,48453001100,48491020325,40,6,29,5,1,16,23,3,2,35
2019,TX,48453001100,48491020326,146,14,105,27,16,20,110,5,13,128
2019,TX,48453001100,48491020327,78,15,51,12,7,16,55,3,6,69
2019,TX,48453001100,48491020328,138,21,104,13,15,19,104,6,8,124
2019,TX,48453001100,48491020403,45,8,29,8,2,11,32,5,2,38
2019,TX,48453001100,48491020404,82,9,50,23,5,13,64,2,3,77
2019,TX,48453001100,48491020405,136,34,81,21,19,26,91,5,9,122
2019,TX,48453001100,48491020406,196,52,117,27,37,41,118,4,9,183
2019,TX,48453001100,48491020408,114,27,76,11,13,27,74,4,11,99
2019,TX,48453001100,48491020409,166,38,104,24,21,30,115,10,9,147
2019,TX,48453001100,48491020410,156,35,80,41,22,40,94,8,10,138
2019,TX,48453001100,48491020411,162,26,93,43,9,30,123,5,8,149
2019,TX,48453001100,48491020503,116,13,72,31,7,21,88,8,14,94
2019,TX,48453001100,48491020504,208,64,106,38,30,59,119,9,16,183
2019,TX,48453001100,48491020505,54,3,37,14,4,3,47,3,4,47
2019,TX,48453001100,48491020506,148,8,105,35,15,27,106,6,13,129
2019,TX,48453001100,48491020507,68,8,45,15,8,15,45,4,6,58
2019,TX,48453001100,48491020508,108,15,70,23,6,21,81,4,10,94
2019,TX,48453001100,48491020509,126,14,83,29,12,16,98,10,10,106
2019,TX,48453001100,48491020510,223,19,160,44,20,26,177,20,16,187
2019,TX,48453001100,48491020602,78,7,52,19,4,12,62,0,16,62
2019,TX,48453001100,48491020603,160,10,109,41,8,21,131,17,10,133
2019,TX,48453001100,48491020604,134,14,92,28,16,14,104,7,12,115
2019,TX,48453001100,48491020605,143,16,108,19,21,25,97,6,10,127
2019,TX,48453001100,48491020701,22,7,11,4,5,7,10,2,0,20
2019,TX,48453001100,48491020703,289,51,189,49,13,67,209,7,29,253
2019,TX,48453001100,48491020704,70,14,35,21,9,20,41,4,10,56
2019,TX,48453001100,48491020706,94,9,58,27,5,14,75,11,9,74
2019,TX,48453001100,48491020707,96,12,68,16,13,21,62,2,8,86
2019,TX,48453001100,48491020708,130,13,90,27,8,17,105,4,11,115
2019,TX,48453001100,48491020803,42,2,30,10,1,8,33,0,4,38
2019,TX,48453001100,48491020804,220,32,144,44,21,33,166,9,17,194
2019,TX,48453001100,48491020805,146,17,99,30,8,17,121,2,12,132
2019,TX,48453001100,48491020806,220,29,167,24,7,39,174,10,10,200
2019,TX,48453001100,48491020807,151,17,103,31,7,27,117,3,14,134
2019,TX,48453001100,48491020808,29,2,19,8,0,5,24,3,0,26
2019,TX,48453001100,48491020809,137,14,87,36,13,24,100,7,9,121
2019,TX,48453001100,48491020900,47,11,31,5,5,2,40,0,4,43
2019,TX,48453001100,48491021000,24,5,18,1,2,5,17,5,6,13
2019,TX,48453001100,48491021100,27,11,13,3,8,4,15,1,2,24
2019,TX,48453001100,48491021201,27,7,13,7,2,3,22,0,0,27
2019,TX,48453001100,48491021202,52,6,27,19,2,6,44,0,1,51
2019,TX,48453001100,48491021203,17,5,9,3,4,7,6,0,0,17
2019,TX,48453001100,48491021300,15,3,9,3,2,1,12,1,0,14
2019,TX,48453001100,48491021401,106,17,66,23,17,24,65,4,15,87
2019,TX,48453001100,48491021402,29,2,17,10,1,5,23,4,1,24
2019,TX,48453001100,48491021403,91,6,71,14,8,10,73,5,14,72
2019,TX,48453001100,48491021502,70,12,42,16,12,23,35,2,8,60
2019,TX,48453001100,48491021503,71,15,42,14,11,28,32,0,5,66
2019,TX,48453001100,48491021504,138,32,91,15,12,21,105,5,6,127
2019,TX,48453001100,48491021505,93,28,49,16,10,25,58,3,2,88
2019,TX,48453001100,48491021506,63,11,41,11,8,15,40,0,6,57
2019,TX,48453001100,48491021507,143,31,80,32,19,44,80,5,18,120
2019,TX,48453001100,48491021508,137,21,82,34,9,23,105,6,21,110
2019,TX,48453001100,48491021601,53,6,36,11,3,13,37,6,8,39
2019,TX,48453001100,48491021602,30,4,9,17,4,3,23,3,1,26
2019,TX,48453001100,48491021603,17,7,7,3,2,2,13,3,3,11
