from_id,percentile,cutoff,accessibility
48453002412,50,30,1233
48055960500,50,30,1143
48453000500,50,30,32675
48453002307,50,30,9308
48453001805,50,30,6050
48453001501,50,30,4919
48453000901,50,30,22620
48453000802,50,30,4734
48453002212,50,30,988
48491020602,50,30,3279
48453000305,50,30,15707
48453001823,50,30,3465
48491020327,50,30,1958
48453001817,50,30,12952
48453002005,50,30,4054
48453001745,50,30,14164
48453001863,50,30,3972
48453001307,50,30,6150
48453002500,50,30,6332
48453002316,50,30,5759
48021950600,50,30,441
48209010908,50,30,1662
48453000205,50,30,17590
48453001804,50,30,12313
48453000804,50,30,12733
48453001754,50,30,12987
48453001782,50,30,437
48453001714,50,30,5088
48055960102,50,30,389
48021950100,50,30,716
48453002110,50,30,888
48453001811,50,30,3919
48491020113,50,30,1321
48453000204,50,30,30549
48453001401,50,30,32015
48491020806,50,30,2231
48453002002,50,30,4402
48453002108,50,30,1369
48453001505,50,30,13437
48453001713,50,30,1457
48491020508,50,30,3111
48491020409,50,30,3111
48453980000,50,30,2570
48491020706,50,30,489
48055960600,50,30,368
48021950300,50,30,3679
48453001846,50,30,1165
48491020111,50,30,1167
48453002409,50,30,1693
48453000203,50,30,33130
48453000401,50,30,33768
48453002419,50,30,1228
48453000601,50,30,51833
48453002004,50,30,4194
48491020321,50,30,380
48453001403,50,30,8648
48453000801,50,30,4093
48453001752,50,30,11006
48491020404,50,30,1800
48453002429,50,30,210
48453000604,50,30,32344
48453001504,50,30,6864
48453002201,50,30,2107
48209010805,50,30,1306
48453001844,50,30,7267
48453002427,50,30,1141
48209010909,50,30,565
48453001829,50,30,2037
48453001853,50,30,3088
48453002318,50,30,1319
48491021203,50,30,2108
48453002434,50,30,424
48453001753,50,30,11745
48453001746,50,30,1837
48453001832,50,30,833
48453002106,50,30,3167
48453002319,50,30,2733
48453001749,50,30,7026
48491021300,50,30,301
48491021201,50,30,536
48453001850,50,30,5657
48453001854,50,30,463
48453001859,50,30,158
48209010809,50,30,2309
48453001750,50,30,4611
48491021506,50,30,285
48453001778,50,30,2604
48055960101,50,30,352
48453001000,50,30,9592
48453001833,50,30,1755
48453002208,50,30,4081
48453000206,50,30,9390
48021950501,50,30,534
48491020318,50,30,3858
48453001834,50,30,13764
48453001768,50,30,3762
48491020603,50,30,1645
48491020804,50,30,1588
48453001841,50,30,6289
48453002435,50,30,1200
48453002113,50,30,697
48453001774,50,30,887
48453001308,50,30,9141
48453001772,50,30,1126
48491020328,50,30,988
48491020109,50,30,1031
48491020202,50,30,1211
48491020326,50,30,1394
48453001775,50,30,770
48453001828,50,30,1550
48453002315,50,30,5520
48491021508,50,30,3460
48453001760,50,30,6223
48453001706,50,30,6093
48453001864,50,30,4236
48453002314,50,30,1179
48491020114,50,30,3806
48491020408,50,30,5071
48209010702,50,30,278
48453001602,50,30,2599
48453002211,50,30,614
48453002436,50,30,1086
48021950700,50,30,1287
48453002426,50,30,315
48491020701,50,30,4437
48491020405,50,30,5691
48453001738,50,30,2634
48209010907,50,30,393
48021950802,50,30,338
48453001503,50,30,21478
48491020803,50,30,886
48453002308,50,30,10115
48453001843,50,30,10279
48453001860,50,30,1660
48453001747,50,30,1959
48453001402,50,30,13366
48491020805,50,30,1683
48453001773,50,30,4340
48453001914,50,30,1170
48491020507,50,30,827
48453001748,50,30,1598
48055960300,50,30,2118
48453001770,50,30,1387
48453002107,50,30,1576
48491020107,50,30,335
48491020605,50,30,204
48453001857,50,30,6391
48453001818,50,30,9780
48453001821,50,30,11537
48453000700,50,30,86821
48453001812,50,30,8534
48453001605,50,30,17049
48491021100,50,30,1120
48491020302,50,30,1750
48491021502,50,30,2159
48453001822,50,30,6739
48491020325,50,30,534
48453002411,50,30,10904
48209010600,50,30,1718
48209010701,50,30,864
48453001764,50,30,1936
48453001919,50,30,12079
48209010400,50,30,10139
48209010100,50,30,8623
48209010304,50,30,3352
48055960400,50,30,695
48055960200,50,30,1599
48453001858,50,30,2236
48453001862,50,30,954
48209010806,50,30,1949
48453002317,50,30,357
48453002313,50,30,2600
48453002312,50,30,2207
48453002413,50,30,5438
48453002433,50,30,2771
48491020505,50,30,2369
48453002431,50,30,11828
48453001845,50,30,2636
48453002210,50,30,223
48453002003,50,30,5046
48453002304,50,30,3106
48453001776,50,30,1040
48453001741,50,30,1092
48453001806,50,30,6781
48453001819,50,30,6604
48453002410,50,30,3039
48491020301,50,30,2360
48491021402,50,30,7439
48453001722,50,30,13788
48453001740,50,30,488
48453001751,50,30,9149
48453002109,50,30,1437
48491021403,50,30,4461
48491020320,50,30,5413
48491020411,50,30,2636
48491020604,50,30,966
48491020807,50,30,269
48491020312,50,30,8856
48453002407,50,30,1089
48453001849,50,30,34486
48453001913,50,30,981
48453002105,50,30,6145
48453001712,50,30,2992
48491020324,50,30,1151
48491020319,50,30,398
48453001908,50,30,6343
48453001761,50,30,6714
48453001783,50,30,802
48491020410,50,30,3079
48491020703,50,30,20492
48491020707,50,30,936
48453001755,50,30,1500
48021950400,50,30,6845
48491020310,50,30,799
48453001781,50,30,732
48453001917,50,30,6744
48209010500,50,30,9066
48453001851,50,30,7373
48453001915,50,30,10373
48491020406,50,30,4452
48453001200,50,30,56052
48491021504,50,30,4536
48209010901,50,30,1325
48453002425,50,30,372
48491020108,50,30,1184
48491020204,50,30,856
48453001728,50,30,1594
48021950801,50,30,141
48491021602,50,30,370
48491020809,50,30,678
48453001848,50,30,4320
48453001304,50,30,9433
48453001912,50,30,8324
48491020323,50,30,895
48453001839,50,30,7175
48453001737,50,30,2107
48453001603,50,30,7713
48453001842,50,30,5638
48453002421,50,30,3975
48491020510,50,30,1258
48453001780,50,30,1004
48453001100,50,30,110377
48453001305,50,30,28323
48453000304,50,30,11725
48453001756,50,30,1293
48491020403,50,30,2857
48491020315,50,30,1163
48453002104,50,30,4720
48491020106,50,30,658
48491021603,50,30,1674
48453001757,50,30,690
48453001835,50,30,247
48453002402,50,30,3765
48453000302,50,30,21074
48453002422,50,30,2172
48453001716,50,30,4192
48453002403,50,30,4326
48453000307,50,30,15872
48453002112,50,30,1534
48209010303,50,30,3368
48491020900,50,30,587
48453001786,50,30,6031
48453000101,50,30,9393
48453001861,50,30,699
48491020313,50,30,2571
48491020201,50,30,1142
48453001855,50,30,5226
48491020504,50,30,8472
48021950200,50,30,2849
48453001766,50,30,0
48209010803,50,30,799
48453001916,50,30,2389
48453001911,50,30,9090
48453001840,50,30,2944
48491021401,50,30,1209
48453001856,50,30,3530
48209010200,50,30,9543
48491021503,50,30,3643
48021950502,50,30,854
48453001765,50,30,4626
48453001785,50,30,2070
48209010808,50,30,2877
48055960700,50,30,1636
48453002432,50,30,1675
48491021000,50,30,1058
48209010906,50,30,1031
48453001742,50,30,2719
48453000102,50,30,2362
48491020322,50,30,1733
48491020203,50,30,133
48209010902,50,30,7692
48453001813,50,30,6819
48453001824,50,30,858
48453001719,50,30,791
48453002423,50,30,682
48453001820,50,30,7499
48491020314,50,30,698
48491020503,50,30,10670
48453001729,50,30,1236
48491021601,50,30,1217
48453002111,50,30,3741
48453002209,50,30,3512
48453002310,50,30,1207
48491021507,50,30,6594
48491020112,50,30,2118
48453001777,50,30,1000
48491020316,50,30,1405
48453001707,50,30,11775
48453001771,50,30,742
48491020110,50,30,1487
48453001847,50,30,3045
48453000603,50,30,21266
48491020704,50,30,3354
48209010302,50,30,1377
48491020506,50,30,1114
48453000306,50,30,5969
48453001910,50,30,12711
48453002430,50,30,578
48453002202,50,30,984
48453000402,50,30,24429
48209010910,50,30,3187
48453001769,50,30,1121
48453001826,50,30,2269
48491021202,50,30,601
48491020115,50,30,863
48453002207,50,30,569
48491020808,50,30,1204
48453001718,50,30,5780
48453001705,50,30,2603
48453001303,50,30,14412
48453001604,50,30,1076
48453000803,50,30,26442
48453001901,50,30,4601
48453001918,50,30,7174
48491020105,50,30,524
48453001784,50,30,3472
48453001606,50,30,4163
48491020509,50,30,856
48453000902,50,30,12330
48491020311,50,30,5035
48453001733,50,30,860
48209010804,50,30,1968
48209010905,50,30,1013
48491020708,50,30,1346
48491020317,50,30,4797
48453002424,50,30,1002
48453002428,50,30,1833
48491021505,50,30,1411
48209010807,50,30,1215
48453001779,50,30,620
